1|EtherFiGovernanceToken|CLOCK_MODE()||t
2|EtherFiGovernanceToken|approve(address,uint256)||t
3|EtherFiGovernanceToken|burn(uint256)|external_contract_call|t
4|EtherFiGovernanceToken|burnFrom(address,uint256)|external_contract_call|t
5|EtherFiGovernanceToken|checkpoints(address,uint32)|external_contract_call|t
6|EtherFiGovernanceToken|delegateBySig(address,uint256,uint256,uint8,bytes32,bytes32)||t
7|EtherFiGovernanceToken|getPastTotalSupply(uint256)||t
8|EtherFiGovernanceToken|getPastVotes(address,uint256)||t
9|EtherFiGovernanceToken|numCheckpoints(address)|external_contract_call|t
10|EtherFiGovernanceToken|permit(address,address,uint256,uint256,uint8,bytes32,bytes32)||t
11|EtherFiGovernanceToken|transfer(address,uint256)||t
20|EarlyAdopterPool|setClaimReceiverContract(address)|hook_update|f
12|EtherFiGovernanceToken|transferFrom(address,address,uint256)||t
13|EarlyAdopterPool|calculateUserPoints(address)|external_contract_call|t
14|EarlyAdopterPool|claim()|asset_send|f
15|EarlyAdopterPool|deposit(address,uint256)|asset_pull|t
16|EarlyAdopterPool|depositEther()|hook_update|t
17|EarlyAdopterPool|getContractTVL()|external_contract_call|t
18|EarlyAdopterPool|pauseContract()|pause_toggle|f
19|EarlyAdopterPool|renounceOwnership()|ownership_transfer|f
249|L1ModeReceiverETH|owner()|ownership_transfer|t
21|EarlyAdopterPool|setClaimingOpen(uint256)||f
22|EarlyAdopterPool|transferOwnership(address)|ownership_transfer|f
23|EarlyAdopterPool|unPauseContract()|pause_toggle|f
24|EarlyAdopterPool|withdraw()|asset_send|f
25|TopUpV2|executeRecovery(address,address)|external_contract_call|f
26|TopUpV2|initialize(address)|ownership_transfer|t
27|TopUpV2|processTopUp(address[])|asset_send|f
28|TopUpV2|receive()|asset_send|t
29|AssetRecoveryDispatcher|initialize(address,address)|ownership_transfer|t
42|Treasury|renounceOwnership()|ownership_transfer|f
43|Treasury|transferOwnership(address)|ownership_transfer|f
265|MockEtherFiAdmin|updatePauser(address,bool)|hook_update|f
30|AssetRecoveryDispatcher|lzReceive(Origin,bytes32,bytes,address,bytes)||f
31|AssetRecoveryDispatcher|owner()|ownership_transfer|t
